観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,今日の最大値(mm),今日の最大値の品質情報,今日の最大値起時（時）(まで),今日の最大値起時（分）(まで),今日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,昨日までの観測史上1位の値(mm),昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値の年,昨日までの観測史上1位の値の月,昨日までの観測史上1位の値の日,昨日までの6月の1位の値(mm),昨日までの6月の1位の値の品質情報,昨日までの6月の1位の値の年,昨日までの6月の1位の値の月,昨日までの6月の1位の値の日,統計開始年
11001,北海道 宗谷地方,宗谷岬（ソウヤミサキ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,45,8,1996,08,18,13,8,2007,06,23,1978
11016,北海道 宗谷地方,稚内（ワッカナイ）,47401,2019,06,30,05,50,0.0,8,0.0,4,,,,,,64.0,8,1938,09,01,16.0,8,2009,06,21,1938
11046,北海道 宗谷地方,礼文（レブン）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,41.0,8,2014,08,24,16.0,8,2009,06,22,2003
11061,北海道 宗谷地方,声問（コエトイ）,,2019,06,30,05,50,0.0,8,0.5,4,03,28,4,,,46.0,8,2010,09,20,13.5,8,2014,06,13,2003
11076,北海道 宗谷地方,浜鬼志別（ハマオニシベツ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,50.0,8,2013,08,24,12,8,2007,06,23,1978
11091,北海道 宗谷地方,本泊（モトドマリ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,49.5,8,2014,08,11,14.0,8,2009,06,22,2003
11121,北海道 宗谷地方,沼川（ヌマカワ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,38.0,8,2012,07,31,18,8,1991,06,05,1977
11151,北海道 宗谷地方,沓形（クツガタ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,44,8,2006,10,19,25.5,8,2014,06,11,1976
11176,北海道 宗谷地方,豊富（トヨトミ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,46.5,8,2010,09,20,14,8,1997,06,26,1976
11206,北海道 宗谷地方,浜頓別（ハマトンベツ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,44,8,1999,08,22,25.0,8,2009,06,13,1976
11276,北海道 宗谷地方,中頓別（ナカトンベツ）,,2019,06,30,05,50,0.0,8,0.5,4,04,35,4,,,42,8,1999,08,22,35.0,8,2014,06,11,1976
11291,北海道 宗谷地方,北見枝幸（キタミエサシ）,47402,2019,06,30,05,50,0.0,8,0.5,4,00,37,4,,,42.5,8,2010,09,06,27.0,8,2018,06,21,1942
11316,北海道 宗谷地方,歌登（ウタノボリ）,,2019,06,30,05,50,0.0,8,0.5,4,00,57,4,,,43,8,2000,10,08,34,8,2006,06,28,1976
13011,北海道 宗谷地方,幌延（ホロノベ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,40,8,2006,09,29,10.0,8,2014,06,12,2006
12011,北海道 上川地方,中川（ナカガワ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,47.5,8,2015,08,14,18.0,8,2012,06,17,1977
12041,北海道 上川地方,音威子府（オトイネップ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,52.5,8,2010,08,13,16.0,8,2014,06,11,1978
12066,北海道 上川地方,小車（オグルマ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,42.5,8,2009,07,24,26.5,8,2014,06,11,2006
12141,北海道 上川地方,美深（ビフカ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,46,8,2006,07,18,26.5,8,2010,06,30,1976
12181,北海道 上川地方,名寄（ナヨロ）,,2019,06,30,05,50,0.0,8,0.5,4,00,19,4,,,52.0,8,2017,07,10,50,8,1994,06,13,1976
12217,北海道 上川地方,西風連（ニシフウレン）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,43.0,8,2011,09,02,33.0,8,2009,06,26,2006
12231,北海道 上川地方,下川（シモカワ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,43.5,8,2012,07,05,24,8,2007,06,06,1976
12256,北海道 上川地方,剣淵（ケンブチ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,53.0,8,2016,07,31,31.0,8,2010,06,24,2006
12261,北海道 上川地方,士別（シベツ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,72.0,8,2015,08,14,27,8,2005,06,13,1976
12266,北海道 上川地方,朝日（アサヒ）,,2019,06,30,05,50,0.0,8,0.5,4,02,02,4,,,53.5,8,2012,07,31,38,8,1990,06,13,1976
12301,北海道 上川地方,和寒（ワッサム）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,45,8,1984,07,16,43,8,2007,06,06,1977
12386,北海道 上川地方,江丹別（エタンベツ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,42.5,8,2012,08,01,19.0,8,2010,06,24,1977
12396,北海道 上川地方,比布（ピップ）,,2019,06,30,05,50,0.0,8,0.5,4,02,29,4,,,63,8,2006,08,13,18.0,8,2009,06,23,1976
12411,北海道 上川地方,上川（カミカワ）,,2019,06,30,05,50,0.0,8,0.5,4,02,11,4,,,47.0,8,2017,07,16,41.5,8,2011,06,10,1976
12442,北海道 上川地方,旭川（アサヒカワ）,47407,2019,06,30,05,50,0.0,8,0.0,4,,,,,,57.3,8,1912,08,14,32.0,8,2012,06,10,1908
12451,北海道 上川地方,東川（ヒガシカワ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,47,8,2006,07,29,37.0,8,2011,06,13,1977
12457,北海道 上川地方,瑞穂（ミズホ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,55,8,2007,07,03,29,8,2001,06,29,1984
12471,北海道 上川地方,層雲峡（ソウウンキョウ）,,2019,06,30,05,50,0.0,8,0.5,4,00,38,4,,,51.5,8,2010,09,06,18,8,2007,06,14,1976
12501,北海道 上川地方,東神楽（ヒガシカグラ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,53,8,2006,08,18,27.5,8,2013,06,19,2003
12512,北海道 上川地方,志比内（シビナイ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,47.5,8,2014,07,13,21,8,1995,06,24,1993
12551,北海道 上川地方,美瑛（ビエイ）,,2019,06,30,05,50,0.0,8,0.5,4,01,41,4,,,59.0,8,2017,08,01,24.0,8,2011,06,11,1976
12596,北海道 上川地方,上富良野（カミフラノ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,44,8,2006,08,18,36,8,2007,06,15,1977
12607,北海道 上川地方,白金（シロガネ）,,2019,06,30,05,50,0.0,8,0.5,4,01,47,4,,,75.5,8,2016,07,31,38,8,2001,06,29,1984
12626,北海道 上川地方,富良野（フラノ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,50,8,2006,08,18,27,8,1990,06,24,1976
12632,北海道 上川地方,麓郷（ロクゴウ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,50,8,2006,07,16,17,8,2004,06,30,1978
12686,北海道 上川地方,金山（カナヤマ）,,2019,06,30,05,50,0.0,8,0.5,4,00,53,4,,,50.0,8,2016,08,01,29.5,8,2012,06,06,2006
12691,北海道 上川地方,幾寅（イクトラ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,49,8,1994,08,13,18,8,1978,06,12,1977
12746,北海道 上川地方,占冠（シムカップ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,44,8,1978,08,07,31.0,8,2015,06,03,1977
15041,北海道 上川地方,朱鞠内（シュマリナイ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,61,8,1999,07,28,28,8,2003,06,14,1978
15076,北海道 上川地方,幌加内（ホロカナイ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,56,8,2006,07,17,25.5,8,2014,06,17,1976
13061,北海道 留萌地方,天塩（テシオ）,,2019,06,30,05,50,0.0,8,0.5,4,01,34,4,,,72.0,8,2013,08,11,14.0,8,2018,06,21,1976
13086,北海道 留萌地方,遠別（エンベツ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,57.0,8,2013,08,20,17.5,8,2014,06,11,1976
13121,北海道 留萌地方,初山別（ショサンベツ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,69.0,8,2010,08,14,24,8,2000,06,06,1977
13146,北海道 留萌地方,焼尻（ヤギシリ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,64.0,8,2010,08,14,23.0,8,2018,06,21,1977
13181,北海道 留萌地方,羽幌（ハボロ）,47404,2019,06,30,05,50,0.0,8,0.0,4,,,,,,54.0,8,1999,07,28,25.0,8,1991,06,12,1929
13206,北海道 留萌地方,古丹別（コタンベツ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,60,8,1999,07,16,20,8,1991,06,12,1976
13261,北海道 留萌地方,達布（タップ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,49,8,1994,08,12,41.5,8,2010,06,24,1977
13277,北海道 留萌地方,留萌（ルモイ）,47406,2019,06,30,05,50,0.0,8,0.0,4,,,,,,57.5,8,1988,08,25,18.8,8,1944,06,23,1943
13311,北海道 留萌地方,増毛（マシケ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,63.0,8,2012,08,26,21,8,1990,06,24,1976
13321,北海道 留萌地方,幌糠（ホロヌカ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,63,8,1988,08,25,15.0,8,2015,06,03,1977
14026,北海道 石狩地方,浜益（ハママス）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,51.5,8,2011,09,02,12,8,1996,06,19,1977
14071,北海道 石狩地方,厚田（アツタ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,53.5,8,2010,08,24,19.0,8,2009,06,23,1977
14101,北海道 石狩地方,新篠津（シンシノツ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,53,8,1988,08,26,24.5,8,2015,06,03,1976
14116,北海道 石狩地方,山口（ヤマグチ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,45.0,8,2016,08,20,15.5,8,2017,06,22,1976
14121,北海道 石狩地方,石狩（イシカリ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,40.0,8,2017,09,23,17,8,2007,06,15,1990
14136,北海道 石狩地方,江別（エベツ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,40.0,8,2016,08,16,36.5,8,2015,06,03,2000
14157,北海道 石狩地方,手稲山（テイネヤマ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,42.0,8,2016,08,20,15.0,8,2017,06,22,2010
14163,北海道 石狩地方,札幌（サッポロ）,47412,2019,06,30,05,50,0.0,8,0.0,4,,,,,,50.2,8,1913,08,28,23.8,8,1901,06,26,1889
14191,北海道 石狩地方,小金湯（コガネユ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,46,8,1994,08,12,18,8,1981,06,28,1976
14206,北海道 石狩地方,恵庭島松（エニワシママツ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,65,8,1994,09,08,37,8,2007,06,15,1976
14286,北海道 石狩地方,支笏湖畔（シコツコハン）,,2019,06,30,05,50,0.0,8,0.5,4,05,01,4,,,70.0,8,2014,09,11,32.5,8,2015,06,03,1976
14296,北海道 石狩地方,千歳（チトセ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,92.0,8,2014,09,11,22.0,8,2016,06,25,2003
15116,北海道 空知地方,石狩沼田（イシカリヌマタ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,52,8,1988,08,26,21,8,1976,06,27,1976
15161,北海道 空知地方,深川（フカガワ）,,2019,06,30,05,50,0.0,8,0.5,4,00,20,4,,,47,8,1990,09,03,38,8,1990,06,25,1976
15197,北海道 空知地方,雨竜（ウリュウ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,44.5,8,2013,08,25,27.5,8,2009,06,23,2006
15216,北海道 空知地方,新城（シンジョウ）,,2019,06,30,05,50,0.0,8,0.5,4,01,13,4,,,48.5,8,2016,08,20,31,8,2001,06,29,1984
15231,北海道 空知地方,空知吉野（ソラチヨシノ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,53,8,1990,09,03,13,8,1996,06,04,1978
15241,北海道 空知地方,滝川（タキカワ）,,2019,06,30,05,50,0.0,8,0.5,4,00,57,4,,,54.0,8,2010,08,24,20,8,2004,06,10,1976
15247,北海道 空知地方,赤平（アカビラ）,,2019,06,30,05,50,0.0,8,0.5,4,01,38,4,,,63,8,2006,08,17,21,8,2007,06,15,2006
15251,北海道 空知地方,芦別（アシベツ）,,2019,06,30,05,50,0.0,8,0.5,4,01,05,4,,,51,8,2006,08,18,51,8,2001,06,29,1976
15276,北海道 空知地方,浦臼（ウラウス）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,40.5,8,2011,08,14,38,8,1991,06,28,1983
15311,北海道 空知地方,月形（ツキガタ）,,2019,06,30,05,50,0.0,8,0.5,4,01,27,4,,,53,8,1981,10,14,19.5,8,2015,06,03,1976
15321,北海道 空知地方,美唄（ビバイ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,70,8,2004,08,21,29,8,1996,06,04,1976
15356,北海道 空知地方,岩見沢（イワミザワ）,47413,2019,06,30,05,50,0.0,8,0.0,4,,,,,,72.0,8,1997,10,07,27.0,8,2015,06,03,1948
15391,北海道 空知地方,栗沢（クリサワ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,53.0,8,2012,09,12,35.5,8,2015,06,03,1976
15431,北海道 空知地方,長沼（ナガヌマ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,43,8,1991,08,21,36.0,8,2015,06,03,1976
15442,北海道 空知地方,夕張（ユウバリ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,48,8,1980,07,12,34.0,8,2015,06,03,1976
15451,北海道 空知地方,鹿島（カシマ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,46.0,8,2011,09,02,40.5,8,2015,06,03,1983
15491,北海道 空知地方,沼の沢（ヌマノサワ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,45,8,2000,07,25,27.5,8,2015,06,03,1983
16026,北海道 後志地方,美国（ビクニ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,56.5,8,2012,09,16,16.0,8,2009,06,30,1976
16061,北海道 後志地方,神恵内（カモエナイ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,67.5,8,2013,08,24,20.5,8,2009,06,30,1977
16076,北海道 後志地方,余市（ヨイチ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,41.5,8,2010,08,07,19.0,8,2010,06,23,1976
16091,北海道 後志地方,小樽（オタル）,47411,2019,06,30,05,50,0.0,8,0.0,4,,,,,,50.5,8,2017,07,16,20.5,8,1967,06,06,1943
16126,北海道 後志地方,赤井川（アカイガワ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,48,8,1994,08,12,17.5,8,2017,06,10,1976
16156,北海道 後志地方,共和（キョウワ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,56,8,1976,08,12,18,8,1976,06,23,1976
